"src","doi","yr","pmcid"
"PMC","10.3389/fnhum.2012.00245",2012,"PMC3427544"
"PMC","10.3389/fphys.2012.00326",2012,"PMC3429094"
"PMC","10.1371/journal.pcbi.1002654",2012,"PMC3431325"
"PMC","10.1002/ece3.292",2012,"PMC3433983"
"PMC","10.1371/journal.pone.0042786",2012,"PMC3435383"
"PMC","10.1093/bioinformatics/bts402",2012,"PMC3436829"
"PMC","10.1186/1471-2105-13-125",2012,"PMC3439690"
"PMC","10.1186/1471-2105-13-S14-S8",2012,"PMC3439727"
"PMC","10.1371/journal.pone.0042304",2012,"PMC3441570"
"PMC","10.1186/1471-2164-13-207",2012,"PMC3442982"
"PMC","10.1371/journal.pone.0044480",2012,"PMC3445547"
"PMC","10.1371/journal.pone.0044448",2012,"PMC3448604"
"PMC","10.1007/s00335-012-9402-6",2012,"PMC3463794"
"PMC","10.1093/bioinformatics/bts486",2012,"PMC3467742"
"PMC","10.1371/journal.pone.0047075",2012,"PMC3468466"
"PMC","10.1371/journal.pone.0046847",2012,"PMC3468592"
"PMC","10.1371/journal.pone.0046966",2012,"PMC3468616"
"PMC","10.1371/journal.pcbi.1002707",2012,"PMC3469446"
"PMC","10.1186/1471-2105-13-31",2012,"PMC3471323"
"PMC","10.1155/2012/158232",2012,"PMC3474547"
"PMC","10.1371/journal.pone.0042047",2012,"PMC3474794"
"PMC","10.1371/journal.pntd.0001854",2012,"PMC3493385"
"PMC","10.1038/srep00794",2012,"PMC3494021"
"PMC","10.1186/1471-2164-13-574",2012,"PMC3495644"
"PMC","10.1371/journal.pone.0049110",2012,"PMC3495771"
"PMC","10.1093/bioinformatics/bts543",2012,"PMC3496339"
"PMC","10.1371/journal.pone.0049445",2012,"PMC3499564"
"PMC","10.1186/1471-2164-13-505",2012,"PMC3500261"
"PMC","10.1186/1758-2946-4-27",2012,"PMC3505738"
"PMC","10.1186/1471-2105-13-254",2012,"PMC3507772"
"PMC","10.7554/eLife.00365",2012,"PMC3510471"
"PMC","10.1186/1479-5876-10-174",2012,"PMC3511201"
"PMC","10.1093/gbe/evs050",2012,"PMC3516246"
"PMC","10.1371/journal.pone.0050858",2012,"PMC3519547"
"PMC","10.1186/1471-2164-13-S7-S6",2012,"PMC3521233"
"PMC","10.1186/1471-2105-13-S17-S11",2012,"PMC3521243"
"PMC","10.1186/1471-2164-13-S7-S28",2012,"PMC3521391"
"PMC","10.1371/journal.pone.0051511",2012,"PMC3522732"
"PMC","10.1093/database/bas055",2012,"PMC3522872"
"PMC","10.1093/nar/gks778",2012,"PMC3526298"
"PMC","10.1093/sysbio/sys078",2012,"PMC3526802"
"PMC","",2012,"PMC3526829"
"PMC","10.1371/journal.pgen.1003129",2012,"PMC3527207"
"PMC","10.1093/nar/gks1091",2012,"PMC3531064"
"PMC","10.1093/nar/gks1055",2012,"PMC3531102"
"PMC","10.1093/nar/gks1122",2012,"PMC3531108"
"PMC","10.1093/nar/gks1004",2012,"PMC3531110"
"PMC","10.1093/nar/gks1124",2012,"PMC3531126"
"PMC","10.1093/nar/gks1236",2012,"PMC3531136"
"PMC","10.1093/nar/gks1226",2012,"PMC3531159"
"PMC","10.1093/nar/gks1158",2012,"PMC3531226"
